start reading files at Sun Dec  3 16:15:13 2023

omp_get_num_threads()=4
Invalid line in data file "TypeOutput				1	1	1	1
"
Invalid line in data file "
"
start initialization at Sun Dec  3 16:15:13 2023

N0a = 9.743096e-01, count=36
N0p = 5.500161e-01, count=8
line:1206 CellCount[DIM]: 35 12 1
line:1207 TotalCellCount: 420
line:1212 CellWidth[DIM]: 1.785714e-02 1.875000e-02 2.000000e-02
start main roop at Sun Dec  3 16:15:14 2023

@ Prof Output Time : 0.000000e+00
line:4564, iter,=123, rr0=,3.838726e+10, rr=,3.622274e-02, rs0=,1.462404e+02, rs=,7.570797e-12
line:4564, iter,=228, rr0=,1.144542e+14, rr=,1.065437e+02, rs0=,4.791215e+05, rs=,2.328195e-08
line:4564, iter,=228, rr0=,1.163790e+14, rr=,1.067281e+02, rs0=,4.871056e+05, rs=,2.333176e-08
line:4564, iter,=228, rr0=,1.183180e+14, rr=,1.071942e+02, rs0=,4.951452e+05, rs=,2.341739e-08
line:4564, iter,=227, rr0=,1.202710e+14, rr=,1.194154e+02, rs0=,5.032393e+05, rs=,2.622761e-08
line:4564, iter,=227, rr0=,1.222380e+14, rr=,1.201763e+02, rs0=,5.113884e+05, rs=,2.638018e-08
line:4564, iter,=227, rr0=,1.242189e+14, rr=,1.210699e+02, rs0=,5.195921e+05, rs=,2.656454e-08
line:4564, iter,=227, rr0=,1.262137e+14, rr=,1.223355e+02, rs0=,5.278508e+05, rs=,2.680387e-08
line:4564, iter,=227, rr0=,1.282224e+14, rr=,1.237303e+02, rs0=,5.361612e+05, rs=,2.708041e-08
line:4564, iter,=227, rr0=,1.302447e+14, rr=,1.253306e+02, rs0=,5.445261e+05, rs=,2.740419e-08
line:4564, iter,=227, rr0=,1.322806e+14, rr=,1.272051e+02, rs0=,5.529456e+05, rs=,2.777294e-08
line:4564, iter,=227, rr0=,1.343298e+14, rr=,1.291986e+02, rs0=,5.614130e+05, rs=,2.819101e-08
line:4564, iter,=227, rr0=,1.363925e+14, rr=,1.312761e+02, rs0=,5.699301e+05, rs=,2.858013e-08
line:4564, iter,=227, rr0=,1.384686e+14, rr=,1.338339e+02, rs0=,5.784986e+05, rs=,2.914377e-08
line:4564, iter,=227, rr0=,1.405579e+14, rr=,1.363608e+02, rs0=,5.871169e+05, rs=,2.967774e-08
line:4564, iter,=227, rr0=,1.426605e+14, rr=,1.371737e+02, rs0=,5.957835e+05, rs=,2.994256e-08
line:4564, iter,=227, rr0=,1.447761e+14, rr=,1.416690e+02, rs0=,6.044996e+05, rs=,3.084473e-08
line:4564, iter,=227, rr0=,1.469047e+14, rr=,1.445963e+02, rs0=,6.132635e+05, rs=,3.146379e-08
line:4564, iter,=227, rr0=,1.490463e+14, rr=,1.457236e+02, rs0=,6.220751e+05, rs=,3.182557e-08
line:4564, iter,=227, rr0=,1.512008e+14, rr=,1.501783e+02, rs0=,6.309339e+05, rs=,3.278103e-08
line:4564, iter,=227, rr0=,1.533680e+14, rr=,1.531486e+02, rs0=,6.398400e+05, rs=,3.341891e-08
line:4564, iter,=228, rr0=,1.555480e+14, rr=,1.429799e+02, rs0=,6.487946e+05, rs=,3.125855e-08
line:4564, iter,=228, rr0=,1.577406e+14, rr=,1.460271e+02, rs0=,6.577972e+05, rs=,3.196804e-08
line:4564, iter,=228, rr0=,1.599460e+14, rr=,1.485713e+02, rs0=,6.668473e+05, rs=,3.263704e-08
line:4564, iter,=228, rr0=,1.621640e+14, rr=,1.515620e+02, rs0=,6.759443e+05, rs=,3.334276e-08
line:4564, iter,=228, rr0=,1.643945e+14, rr=,1.542148e+02, rs0=,6.850881e+05, rs=,3.401582e-08
line:4564, iter,=228, rr0=,1.666374e+14, rr=,1.567409e+02, rs0=,6.942786e+05, rs=,3.467782e-08
line:4564, iter,=228, rr0=,1.688929e+14, rr=,1.592518e+02, rs0=,7.035155e+05, rs=,3.532522e-08
line:4564, iter,=228, rr0=,1.711608e+14, rr=,1.616571e+02, rs0=,7.127977e+05, rs=,3.596080e-08
line:4564, iter,=228, rr0=,1.734410e+14, rr=,1.639422e+02, rs0=,7.221250e+05, rs=,3.658168e-08
line:4564, iter,=228, rr0=,1.757334e+14, rr=,1.662296e+02, rs0=,7.314989e+05, rs=,3.719037e-08
line:4564, iter,=228, rr0=,1.780380e+14, rr=,1.684711e+02, rs0=,7.409168e+05, rs=,3.778588e-08
line:4564, iter,=228, rr0=,1.803546e+14, rr=,1.705738e+02, rs0=,7.503789e+05, rs=,3.836103e-08
line:4564, iter,=228, rr0=,1.826833e+14, rr=,1.728108e+02, rs0=,7.598851e+05, rs=,3.892768e-08
line:4564, iter,=228, rr0=,1.850239e+14, rr=,1.748103e+02, rs0=,7.694353e+05, rs=,3.948274e-08
line:4564, iter,=228, rr0=,1.873764e+14, rr=,1.768916e+02, rs0=,7.790299e+05, rs=,4.003559e-08
line:4564, iter,=228, rr0=,1.897408e+14, rr=,1.791156e+02, rs0=,7.886691e+05, rs=,4.061267e-08
line:4564, iter,=228, rr0=,1.921171e+14, rr=,1.815117e+02, rs0=,7.983512e+05, rs=,4.122654e-08
line:4564, iter,=228, rr0=,1.945051e+14, rr=,1.841775e+02, rs0=,8.080770e+05, rs=,4.187782e-08
line:4564, iter,=228, rr0=,1.969048e+14, rr=,1.869164e+02, rs0=,8.178460e+05, rs=,4.253216e-08
line:4564, iter,=228, rr0=,1.993163e+14, rr=,1.896728e+02, rs0=,8.276587e+05, rs=,4.320275e-08
line:4564, iter,=228, rr0=,2.017394e+14, rr=,1.925558e+02, rs0=,8.375149e+05, rs=,4.387742e-08
line:4564, iter,=228, rr0=,2.041742e+14, rr=,1.955026e+02, rs0=,8.474161e+05, rs=,4.456406e-08
line:4564, iter,=228, rr0=,2.066205e+14, rr=,1.986920e+02, rs0=,8.573606e+05, rs=,4.526834e-08
line:4564, iter,=228, rr0=,2.090785e+14, rr=,2.018773e+02, rs0=,8.673479e+05, rs=,4.597672e-08
line:4564, iter,=228, rr0=,2.115480e+14, rr=,2.052740e+02, rs0=,8.773782e+05, rs=,4.672112e-08
line:4564, iter,=228, rr0=,2.140292e+14, rr=,2.087656e+02, rs0=,8.874516e+05, rs=,4.746749e-08
line:4564, iter,=228, rr0=,2.165218e+14, rr=,2.123674e+02, rs0=,8.975680e+05, rs=,4.821367e-08
line:4564, iter,=228, rr0=,2.190261e+14, rr=,2.159696e+02, rs0=,9.077273e+05, rs=,4.896760e-08
line:4564, iter,=228, rr0=,2.215419e+14, rr=,2.195323e+02, rs0=,9.179296e+05, rs=,4.970741e-08
line:4564, iter,=228, rr0=,2.240692e+14, rr=,2.230248e+02, rs0=,9.281721e+05, rs=,5.042837e-08
line:4564, iter,=228, rr0=,2.266082e+14, rr=,2.264719e+02, rs0=,9.384577e+05, rs=,5.113066e-08
